Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,23005.778702983065,37929.44440405255,7197.631521143464,14923.665701069483,565.5,"[33563.3747, 45749.765, 42085.8466, 30318.7913]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,13309.41034341929,33903.56574447619,4650.831362886196,20594.1554010569,777.0,"[30781.9081, 33966.5578, 40456.0582, 30409.7389]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,23012.338755501918,37908.30249332213,7201.166604077328,14895.963737820213,565.5,"[33551.1979, 45745.3574, 42046.7448, 30289.9098]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,18473.46726127567,34434.75649193,9425.201652038859,15961.289230654329,66.0,"[27254.2724, 37230.7363, 46564.6765, 26689.3408]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64,32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,37550.111886894396,38454.586924028496,9030.762744034697,904.4750371340997,104.5,"[34970.4085, 48499.5813, 42593.7633, 27754.5946]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,18508.186983824926,34435.332889068886,9429.365661571703,15927.14590524396,66.0,"[27253.6578, 37236.1728, 46568.6321, 26682.8688]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64,32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,37526.22866300435,38431.08033086141,9049.16874973802,904.8516678570595,104.5,"[34842.0494, 48514.5442, 42600.6067, 27767.121]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,18120.435646529935,34610.86048183974,9274.698380238597,16490.42483530981,61.75,"[27249.1183, 37277.6486, 46595.0326, 27321.6423]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64,32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,37672.76624531769,38737.80740409433,8911.068199250372,1065.041158776643,104.5,"[35864.8945, 48558.4778, 42659.4188, 27868.4386]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,18206.540825898348,32938.72902763415,6160.57702559375,14732.188201735804,101.25,"[28572.4013, 36064.7282, 40049.3567, 27068.4298]"
