Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,124180.90365496904,43950282103647.95,87900563316021.05,43950281979467.05,54.75,"[175801127077679.53, 211592.5664, 954371.0521, 170948.6576]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,141216.41404649054,1.7623097756372794e+21,3.524619551274528e+21,1.7623097756372791e+21,149.25,"[7.049239102549071e+21, 197037.0629, 17949035.6575, 28100444.4984]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,129125.68261204119,4.753480859534279e+20,9.506961719068028e+20,4.753480859534278e+20,58.0,"[1.901392343813632e+21, 192110.784, 66781510.9825, 12689501.6392]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,97195.78644749415,6.226564418703022e+21,1.245312883740604e+22,6.226564418703022e+21,132.25,"[2.490625767481208e+22, 190956.4795, 2493932.8909, 2265107.2467]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[32,16],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,160445.07174869685,8.532299922512942e+16,1.7064599844658902e+17,8.532299922496898e+16,463.75,"[3.412919968950129e+17, 1686670.8235, 198232.7094, 3619906.1546]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[32,16],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,179131.3654385103,172919348602796.84,345838687012309.94,172919348423665.47,187.5,"[691677379121261.8, 197300.6818, 5655681.4708, 9436943.494]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[32,16],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,110125.65266195149,2315418759138121.0,4630837517452287.0,2315418759027995.5,203.25,"[9261675035316552.0, 118366.4846, 994840.1325, 122725.2424]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,143336.65897175053,2.735632069536324e+17,5.471264139064716e+17,2.7356320695348906e+17,425.5,"[1.09425282781334e+18, 193223.6046, 547261.0009, 449193.7975]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,113544.63263260236,5761008073584841.0,1.1522016146778164e+16,5761008073471296.0,186.75,"[2.304403229375209e+16, 156928.878, 214786.7015, 215558.2468]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,80303.35258460097,671070269338920.0,1342140538397456.5,671070269258616.6,120.5,"[2684281076935104.5, 86042.8846, 215914.8957, 118617.5318]"
