Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",1002634241.6475164,2.421474453307394e+18,4.842948906614333e+18,2.42147445230476e+18,61.5,"[9.685897813228894e+18, 204174.2408, 107423.4695, 370688.3602]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",47509423525.44611,6.439910244507507e+18,1.2879820489013987e+19,6.439910196998084e+18,60.25,"[2.5759640978028487e+19, 47741.0992, 1006515.9956, 481964.036]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",8235275081.250004,6.916768105988484e+18,1.383353621197323e+19,6.916768097753209e+18,82.75,"[2.766707242394833e+19, 204158.4207, 129837.7908, 5271995.9564]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",15353251739.794876,1.69125669355136e+20,3.382513387102668e+20,1.6912566933978274e+20,41.0,"[6.765026774205361e+20, 204165.3207, 367595.1116, 7169693.4129]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",431868616750.2621,2.4718656786968822e+20,4.943731357393762e+20,2.471865674378196e+20,111.0,"[9.887462714787525e+20, 73407.5326, 91776.19, 181436.9653]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",978860547245.0983,7.880695036910098e+20,1.5761390073820196e+21,7.880695027121493e+20,109.5,"[3.1522780147640393e+21, 42007.1992, 119225.8493, 213220.4039]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",990648437855.3759,1.976119165002431e+21,3.952238330004862e+21,1.9761191640117826e+21,91.25,"[7.904476660009724e+21, 52845.518, 93126.5511, 376835.9891]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",847899530119.4647,1.364382035827316e+22,2.7287640716546314e+22,1.364382035742526e+22,53.75,"[5.457528143309263e+22, 204173.3947, 6022697.2954, 259006.8786]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",553434672835.5332,2.1144783562093573e+22,4.228956712418714e+22,2.114478356154014e+22,54.25,"[8.457913424837427e+22, 204174.6082, 7785100.8369, 19310476.7029]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",611851221242.832,2.2019075253078443e+22,4.4038150506156885e+22,2.201907525246659e+22,96.5,"[8.807630101231377e+22, 75085.5034, 2123015.9787, 3076335.937]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",583269295290.7498,9.19178028443277e+22,1.838356056886554e+23,9.191780284374443e+22,33.25,"[3.676712113773108e+23, 204174.6082, 401110.9648, 14593262.3639]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",6882708900881.134,1.3235708969208778e+23,2.6471417938417555e+23,1.3235708968520507e+23,65.75,"[5.2942835876835104e+23, 71757.6914, 64026.1998, 221073.0427]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",1.867039409082404e+24,3.411944331970642e+23,6.82388866394071e+23,-1.5258449758853396e+24,45.0,"[1.3647777327881707e+24, 86136914438.6408, 87400.5609, 48178851.0171]"
