Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",60188.412339588125,96704.99606997256,23342.010690944804,36516.58373038444,89.0,"[99342.7592, 68393.139, 93786.8885, 125297.1976]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",71489.05933712784,99536.33057729178,11596.747021591857,28047.271240163944,107.25,"[108719.8483, 83063.0214, 99927.2916, 106435.161]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",79577.55417934679,99587.4000778098,69698.53517937433,20009.845898463012,55.75,"[68309.499, 203886.3737, 58025.3335, 68128.3942]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",80314.55869823025,100800.1419652823,10927.812617103022,20485.583267052047,72.0,"[115411.8014, 92018.6318, 102916.987, 92853.1476]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",80723.73419370149,100812.5825731224,14683.750620452378,20088.848379420917,107.5,"[83238.3072, 94596.437, 115566.981, 109848.6051]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",80437.73545052369,102022.52203553735,10188.113469797976,21584.78658501366,94.0,"[87525.8945, 102385.3295, 108306.2666, 109872.5975]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",80486.80473652174,103547.51303840897,68326.09992068532,23060.708301887236,65.75,"[53398.6567, 202509.3835, 63240.4869, 95041.525]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",80446.52616047725,106622.49660277631,68188.39524641272,26175.97044229906,65.75,"[53091.6949, 202499.0524, 63150.1845, 107749.0546]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",87576.72684732627,115926.69764671302,65539.12197192907,28349.97079938675,50.75,"[56608.4542, 204166.5374, 77351.8285, 125579.9705]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",86717.267292821,116789.13918747453,58504.64963303852,30071.871894653537,99.75,"[87022.9458, 204164.1638, 94639.5033, 81329.9439]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",107780.4584588822,119474.92528149261,57171.8517231438,11694.466822610411,129.5,"[83547.2138, 204086.9139, 104373.8204, 85891.7531]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",97460.14926876443,119545.0508614156,57283.529332431186,22084.901592651164,70.0,"[82504.8089, 204048.7539, 105936.6296, 85690.011]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",74625.05595028253,119657.23618017795,73263.36301244242,45032.18022989541,80.25,"[52123.3003, 203986.3446, 64949.3317, 157569.9681]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",89752.9545079194,119957.45201837696,56146.17148062551,30204.497510457557,119.75,"[90799.6887, 204168.3441, 92202.0781, 92659.6971]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",94638.6694099152,120864.91768999102,56357.56979050792,26226.24828007583,69.0,"[87568.5516, 204164.1914, 106609.7341, 85117.1937]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",72757.3848936146,121175.98863436976,75919.11045876567,48418.60374075516,76.25,"[51615.7685, 202023.1994, 61437.4834, 169627.5033]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",74814.87896100026,121371.68621866753,72525.32367485127,46556.80725766727,80.25,"[56392.873, 203987.0913, 64716.7322, 160390.0484]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",72579.26851498989,122106.87540102893,76650.95634870263,49527.60688603904,76.25,"[51913.7227, 202009.5505, 61272.4137, 173231.8147]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",88599.6445332874,122287.48769760509,67576.47317992926,33687.84316431769,38.0,"[150117.1301, 204166.5437, 77509.6239, 57356.653]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",78880.25152860081,122432.51788281837,70431.11597653714,43552.26635421756,60.25,"[158214.5125, 204165.5054, 66513.0189, 60837.0348]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",96383.9926063451,123778.7715133357,53658.2779027294,27394.7789069906,78.0,"[93548.9232, 204168.2465, 99988.6996, 97409.2168]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",56329.118408812945,127240.53774988907,94128.21136753689,70911.41934107614,84.75,"[81409.7317, 78713.2421, 80416.2013, 268422.9759]"
