Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",69795.95616850743,95937.27647739617,10164.443456980367,26141.32030888874,183.25,"[89750.6504, 108965.8258, 98782.2679, 86250.3618]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",75886.92366544234,97353.57253640279,12520.662858918913,21466.648870960445,111.75,"[83181.0003, 110676.7227, 104544.8227, 91011.7444]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",56518.49910398878,98780.41428525599,30065.531236766128,42261.915181267206,93.0,"[92351.1455, 143006.8752, 79582.406, 80181.2304]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",72594.6105812225,99044.65659868246,26019.97893724573,26450.046017459958,101.25,"[70473.6296, 110520.6325, 129236.9958, 85947.3684]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",56967.21847799985,99108.44070548852,38080.68957182737,42141.22222748867,144.5,"[76229.0467, 119264.9752, 141803.6171, 59136.1238]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",69528.40855536207,99889.8766934549,21058.373927255692,30361.468138092838,121.5,"[127643.9575, 96258.7462, 99140.6265, 76516.1766]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",82136.78312971338,102067.7606709896,13587.512302297479,19930.977541276225,92.5,"[92876.2344, 105569.308, 119760.7896, 90064.7107]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",74950.71496361266,106423.86842388433,22587.4546519585,31473.15346027167,144.25,"[88703.6358, 126156.5529, 125729.8169, 85105.468]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",57594.89499050975,109580.44843846408,22685.93861960584,51985.553447954335,158.25,"[76742.2725, 121704.7048, 112723.5739, 127151.2425]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",61288.17602185184,110878.1386479303,32579.334682444372,49589.962626078464,143.5,"[152119.7441, 106287.1591, 112435.7057, 72669.9456]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",70216.29338598254,116612.61292355803,36617.53488607209,46396.31953757549,108.75,"[148405.6216, 93564.0659, 147185.1089, 77295.6553]"
