Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",17810.285203343246,40232.73318195692,17215.700195847392,22422.447978613676,15.25,"[30111.4094, 25713.0469, 40885.1444, 64221.332]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",15803.54796772157,43787.770315013564,18530.35338355345,27984.222347291994,32.0,"[34434.5467, 28599.4907, 41726.518, 70390.5258]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",13703.761134368922,44227.49774899362,20394.099782822854,30523.7366146247,55.0,"[34397.8622, 27123.5738, 41948.1088, 73440.4461]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",12674.105745373936,43287.22220979059,17803.07846982046,30613.116464416657,26.75,"[34909.3335, 28132.2236, 41377.2734, 68730.0582]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",12571.391230396332,43730.63536915865,18860.50140540976,31159.24413876232,30.5,"[34124.746, 28727.8997, 41084.8954, 70985.0004]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",14218.065802932573,43840.98270560346,17975.08647916409,29622.91690267089,78.0,"[33882.4958, 27759.0179, 45189.4995, 68532.9176]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",13843.979165158324,42475.87774807025,18376.506347499195,28631.898582911926,60.75,"[33987.287, 24590.3346, 43972.3147, 67353.5747]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",16176.14900049983,44588.37271464454,17558.82375930261,28412.223714144708,43.5,"[33781.5355, 30582.6844, 44662.5812, 69326.6898]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",16357.462526229821,41566.43599732201,14758.688542095282,25208.97347109219,26.5,"[33626.783, 27623.5082, 43659.2896, 61356.1632]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",9964.849964776897,46594.82417337433,21974.368604412502,36629.97420859743,53.0,"[35116.6769, 28020.0997, 45492.6701, 77749.8499]"
