Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",77630.43868686227,90083.95783541814,74299.31967910742,12453.519148555875,37.0,"[51838.006, 201520.2177, 52498.0277, 54479.5799]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",47480.68981741352,77162.19488271844,18900.17170034584,29681.50506530492,49.75,"[74084.2226, 73738.7709, 57726.7557, 103099.0303]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",41259.42151902123,65448.66938844318,22579.632176088056,24189.247869421954,79.0,"[53677.0872, 51240.4269, 57803.6669, 99073.4966]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",47802.04804971186,71698.54502265672,31789.689791790282,23896.496972944857,47.0,"[41374.5089, 73101.9529, 57072.4789, 115245.2395]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",47418.45092071195,71181.02627426083,32213.416577969285,23762.575353548884,47.0,"[39797.693, 72979.4184, 56927.5812, 115019.4125]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",52348.60464613447,78824.3295031816,42223.23107589415,26475.724857047127,55.0,"[46957.7826, 69565.7303, 58146.3494, 140627.4556]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",50932.91835633749,71636.53323749392,27896.795590459737,20703.614881156427,55.25,"[49766.2938, 68924.6121, 56116.7306, 111738.4964]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",74827.32096070274,116857.68407010478,76112.19613093413,42030.36310940204,48.75,"[50222.1454, 203743.6103, 55817.3604, 157647.6202]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",73614.2817455064,112060.78828163599,75890.00478316791,38446.506536129586,46.25,"[51179.6309, 203744.8263, 48229.029, 145089.667]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",85877.00747910487,131234.4651640486,81695.86891606743,45357.45768494373,34.25,"[59737.0373, 204166.1132, 61268.8568, 199765.8534]"
