Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",28826.95174215861,50412.84081144238,26858.17759349636,21585.88906928377,53.0,"[36114.3379, 31345.4323, 44298.5396, 89893.0533]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",28824.64483123314,50418.18362408588,26870.844793551187,21593.53879285274,53.0,"[36117.0374, 31342.1314, 44295.7146, 89917.851]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",40749.00529850142,51106.034560761924,12127.90260224541,10357.029262260505,53.0,"[46550.0571, 39391.5641, 50554.8157, 67927.7014]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",39583.439562082276,51605.498138710005,18821.877910617615,12022.058576627729,67.0,"[42977.2334, 34712.8504, 50630.557, 78101.3517]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",35373.99163844438,51615.35742970203,17652.815403836226,16241.365791257653,56.75,"[41578.1296, 40391.2082, 46720.0174, 77772.0746]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",33127.53263948388,51656.127693879695,21450.69114005742,18528.595054395817,106.25,"[33641.7213, 40758.8368, 50000.1244, 82223.8283]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",34102.11193776397,52086.271893269615,21536.3632114284,17984.159955505645,52.5,"[34272.2256, 41086.1846, 50092.4925, 82894.1848]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",35443.74533066567,52208.676592610835,20129.526891823407,16764.931261945167,59.5,"[39329.1975, 40629.3996, 46880.7549, 81995.3544]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",32274.866411146693,52562.812940869735,25222.06674498661,20287.94652972304,48.25,"[35368.6665, 36790.1026, 48789.9575, 89302.5251]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",35028.11340181752,52782.05660036656,21023.885827078906,17753.943198549037,57.75,"[41515.7174, 39814.6189, 45698.8342, 84099.0559]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",33789.56258945421,52965.0812396463,20482.43041786963,19175.51865019209,97.0,"[39187.2455, 39922.8425, 49958.6188, 82791.6181]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",43474.63131145848,53791.77315077289,21963.329300305264,10317.141839314412,69.75,"[43079.8766, 35943.9179, 50664.1346, 85479.1636]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",43594.46632555427,53883.064633331356,21912.555167420636,10288.598307777087,69.75,"[43187.2474, 35914.0221, 51005.6698, 85425.3192]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",43790.5854837053,54094.59138311251,18639.117499451073,10304.00589940721,53.25,"[45335.3428, 38409.3095, 51812.8905, 80820.8227]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",43835.677971428406,54217.81137071035,18634.075638729748,10382.133399281942,53.25,"[45308.859, 38749.1398, 51813.7686, 80999.4781]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",44945.17832211948,54404.30914586938,22258.2291701208,9459.130823749903,71.75,"[44777.8622, 33255.6334, 54416.6106, 85167.1305]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",44667.32301689024,54675.498823440525,22088.538537328765,10008.175806550287,71.75,"[44888.3399, 34044.8381, 54397.7033, 85371.114]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",35311.16719247745,55750.431738697356,32073.2962529014,20439.264546219907,58.5,"[38776.2878, 36716.9894, 43859.2221, 103649.2276]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",36142.54327215157,56206.83364073931,24628.12944871227,20064.29036858774,52.75,"[40564.1088, 37596.5243, 55417.4269, 91249.2745]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",36697.84821735284,56395.8666538501,31767.192206029336,19698.01843649726,49.25,"[43290.382, 35012.0499, 43609.8147, 103671.22]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",38856.38339288763,58684.9659906224,34811.22093833834,19828.58259773477,47.75,"[39316.4973, 35573.8859, 49725.8358, 110123.645]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",40017.79591616032,59599.56796096612,33857.78163300809,19581.772044805795,53.25,"[39348.5768, 39696.7315, 49455.1511, 109897.8124]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",44012.5169232898,65113.21517789415,42917.61792793205,21100.69825460435,37.75,"[43053.6835, 36838.3448, 51725.9189, 128834.9136]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",45083.69588846502,68274.91527411836,39379.139759933874,23191.21938565334,44.0,"[42806.6856, 49576.1023, 53762.605, 126954.2682]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",50873.86655685624,75379.56785888619,13102.67694491367,24505.70130202995,147.25,"[59827.736, 86144.7639, 86312.0769, 69233.6947]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",54322.65625333696,76330.03571337,14266.988815693418,22007.379460033044,101.25,"[60450.1894, 92656.7241, 82881.9672, 69331.2622]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",47775.27038535752,76677.93872122507,7400.908402965255,28902.66833586755,162.25,"[66239.9049, 80774.8392, 82888.0947, 76808.916]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",53429.19106760117,77453.63391257837,8911.4249241637,24024.442844977202,109.0,"[64759.4616, 84395.8258, 77843.4821, 82815.7662]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",52509.87092963733,78604.8919075783,12511.437641900022,26095.020977940978,158.75,"[65425.3505, 75635.9516, 95530.8717, 77827.3939]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",52581.43382387252,79127.51601428799,5221.334120251268,26546.082190415473,127.5,"[75137.2743, 84872.3217, 82207.6904, 74292.7776]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",59500.52839506464,80625.93329631958,18217.385307582506,21125.404901254937,97.5,"[67572.5209, 80325.8858, 106485.733, 68119.5934]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",61545.34660881115,82323.04519243349,10182.977639172239,20777.69858362234,134.5,"[82351.6915, 91706.3254, 87070.6568, 68163.5072]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",53264.064120465526,82702.05306061194,18274.297864760072,29437.988940146417,118.75,"[65414.9229, 105567.834, 88984.6736, 70840.7817]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",70414.30407685896,83162.84715177634,8859.036042703328,12748.543074917383,78.75,"[84018.0672, 86416.1399, 91493.491, 70723.6905]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",58120.739394042095,83335.32241030157,6818.741771289407,25214.583016259472,138.25,"[76170.3654, 85884.1879, 91601.4821, 79685.2542]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",54428.02830711981,83738.84482060351,8960.676466525056,29310.816513483704,113.75,"[70433.9902, 86457.7554, 89500.0207, 88563.6131]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",66345.74848851262,84156.62832466839,11941.38324091273,17810.87983615577,122.0,"[82911.0232, 92795.7235, 93193.1578, 67726.6089]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",58949.1795908092,85035.1601383306,18827.358644052634,26085.980547521394,89.5,"[63793.1638, 94730.551, 105833.8287, 75783.097]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",59395.76438640253,85233.53702493901,9083.04287252567,25837.77263853648,106.75,"[74537.7413, 90196.6504, 94883.706, 81316.0504]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",57588.71789240951,86624.70539772183,7024.322985164776,29035.987505312318,138.75,"[83142.5961, 95056.2189, 89276.3828, 79023.6238]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",51266.676290977804,88611.18500395241,13595.730718259905,37344.50871297461,196.75,"[74267.1515, 101989.7965, 98295.1763, 79892.6157]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",62218.56584415807,88643.42099247796,16459.266268975654,26424.85514831989,95.5,"[67815.2893, 90568.054, 88182.1506, 108008.1902]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",65316.612537877576,89740.15922246629,5463.691882172285,24423.546684588713,126.0,"[84488.402, 97302.9842, 89611.2691, 87557.9816]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",70052.02586963192,89930.9163070692,6749.070490343567,19878.89043743728,197.25,"[85039.2729, 87693.963, 99910.4028, 87080.0267]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",69351.45989009787,90664.55513795426,8665.828622333645,21313.095247856385,114.5,"[79351.1462, 89974.5555, 93146.3498, 100186.1691]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",71233.89452359159,91097.44116606047,17570.884180887057,19863.54664246888,119.25,"[69814.7557, 88626.3325, 112592.7442, 93355.9322]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",79580.04727678213,91924.44014806295,13002.01544258568,12344.392871280812,56.25,"[80027.7541, 96389.4451, 108251.2851, 83029.2762]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",62762.17573176799,92062.63928860384,9372.492569994543,29300.46355683585,88.5,"[88307.1901, 91952.0861, 104994.3278, 82996.9533]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",77840.92428997549,92185.06918676838,13401.18784555347,14344.144896792888,80.0,"[84144.7045, 98683.4833, 107631.0206, 78281.0683]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",71960.50432396878,92472.92095708138,9132.427353953057,20512.416633112603,86.25,"[86554.1788, 103810.852, 95760.8132, 83765.8397]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",79459.06118769594,93754.89695630058,12533.453976019955,14295.835768604637,110.0,"[82602.5859, 106034.2451, 103077.5017, 83305.2551]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",72822.84907027186,98139.98465532447,19459.035519945744,25317.135585052616,129.25,"[86660.8925, 126843.0724, 93527.5101, 85528.4636]"
